id,titulo,disciplina,ano,status,id_anterior,titulo_anterior,disciplina_anterior,ano_anterior,status_anterior
20910,O que fazemos de dia e o que fazemos à noite?,Ciências,1,1,20909,O tempo de cada dia,Ciências,1,1
20912,Transformações nas trajetórias dos grupos humanos,História,4,1,20911,Mudanças ao longo do tempo,História,4,1
20913,As cidades - mudanças ao longo do tempo,História,4,1,20914,Comunidades nômades do passado e do presente,História,4,1
20913,As cidades - mudanças ao longo do tempo,História,4,1,20933,O que há de migrante em mim?,História,3,1
20914,Comunidades nômades do passado e do presente,História,4,1,20912,Transformações nas trajetórias dos grupos humanos,História,4,1
20924,Registrando histórias locais,História,2,1,20932,Caixa das memórias: reviver a história,História,1,1
20925,Os objetos têm história?,História,2,1,20922,Registros e memórias,História,2,1
20927,As formas de trabalho e os seus impactos na natureza,História,2,1,20926,O trabalho na nossa comunidade,História,2,1
20928,Família e comunidade: muitas histórias,História,1,1,20932,Caixa das memórias: reviver a história,História,1,1
20929,Eu e o mundo ao meu redor,História,1,1,20928,Família e comunidade: muitas histórias,História,1,1
20934,Povos e culturas: meu lugar no mundo e meu grupo social,História,5,1,20903,Formação cultural de um povo,História,5,1
20937,A comunidade e seus registros,História,2,1,20922,Registros e memórias,História,2,1
20937,A comunidade e seus registros,História,2,1,20925,Os objetos têm história?,História,2,1
20943,Cada um na família tem o seu papel,História,1,1,20942,Os espaços sociais e suas regras,História,1,1
20944,Trabalhando a localização e os pontos de referência,Geografia,2,1,20870,Pontos de referência: o corpo em ação,Geografia,1,1
20945,Migrações: o deslocamento de pessoas nos lugares,Geografia,5,1,20843,Diferenças da população brasileira,Geografia,5,1
